cell,mapping
N2,N2=(D19-D18)/10
A3,A3=0.5*A4
C3,C3=0.5*C4
D3,D3=0.5*D4
N3,N3=(D20-D19)/10
A4,A4=0.5*A5
B4,B4=0.5*B5
C4,C4=0.5*C5
D4,D4=0.5*D5
H4,"H4=SLOPE(B3:B9,C3:C9)"
I4,"I4=SLOPE(A3:A9,C3:C9)"
J4,"J4=SLOPE(C3:C9,D3:D9)"
N4,N4=(D21-D20)/4.1
A5,A5=0.5*A6
B5,B5=0.5*B6
C5,C5=0.5*C6
D5,D5=0.5*D6
H5,"H5=INTERCEPT(B3:B9,C3:C9)"
I5,"I5=INTERCEPT(A3:A9,C3:C9)"
J5,"J5=INTERCEPT(C3:C9,D3:D9)"
K5,"K5=INTERCEPT(A3:A9,C3:C9)"
L5,"L5=INTERCEPT(A3:A9,C3:C9)"
A6,A6=I3
C6,C6=H3
H6,"H6=RSQ(B3:B9,C3:C9)"
I6,"I6=RSQ(A3:A9,C3:C9)"
J6,"J6=RSQ(C3:C9,D3:D9)"
K6,"K6=RSQ(A3:A9,C3:C9)"
L6,"L6=RSQ(B3:B9,D3:D9)"
A7,A7=I3
C7,C7=H3
A8,A8=I3
C8,C8=H3
A9,A9=2*A6
B9,B9=2*B6
C9,C9=2*C6
D9,D9=2*D6
L10,L10=J15
M10,M10=(LOG(L10))
N10,"N10=POWER(10,K25)"
O10,O10=LOG(N10)
P10,"P10=ROUND(ABS(M10-O10),0)"
B12,B12=B18
C12,C12=C18
D12,D12=B38/0.1
E12,E12=(((D12-H5)/H4)*(C12*B12))/14.65
F12,F12=E12-E12
D13,D13=B39/0.1
E13,E13=(((D13-H5)/H4)*(C12*B12))/14.65
F13,F13=E13-E12
D14,D14=B40/0.1
E14,E14=(((D14-H5)/H4)*(C12*B12))/14.65
F14,F14=E14-E13
D15,D15=B41/0.1
E15,E15=(((D15-H5)/H4)*(C12*B12))/14.65
F15,F15=E15-E14
I15,"I15=AVERAGE(F18,F24,F30)"
J15,J15=(I15*C18)
K15,"K15=IF(I15>=ROUND(LOG(J27),0),(J15/(POWER(10,P10)))/10,(J15/(POWER(10,P10))))*J11"
E18,E18=(((D18-I5)/I4)*(C35/C18))/7850
F18,F18=AVERAGE(E19:E21)
E19,E19=(((D19-N2)/I4)*(C35/C18))/7850
E20,E20=(((D20-N3)/I4)*(C35/C18))/7850
I20,I20=D18
L20,L20=(LOG(E12)-LOG(K20))
N20,N20=((I20-$D$18)/J20)*(1/$I$4)
O20,O20=((I20-$D$18)/J20)*(1/$L$4)
P20,P20=((I20-$D$18)/J20)*(1/$K$4)
E21,E21=(((D21-N4)/I4)*(C35/C18))/7850
I21,I21=D19
K21,"K21=AVERAGE(N21,O21,P21)"
L21,L21=(LOG(E13)-LOG(K21))
N21,N21=((I21-$D$18)/J21)*(1/$I$4)
O21,O21=((I21-$D$18)/J21)*(1/$L$4)
P21,P21=((I21-$D$18)/J21)*(1/$K$4)
I22,I22=D20
K22,"K22=AVERAGE(N22,O22,P22)"
L22,L22=(LOG(E14)-LOG(K22))
N22,N22=((I22-$D$18)/J22)*(1/$I$4)
O22,O22=((I22-$D$18)/J22)*(1/$L$4)
P22,P22=((I22-$D$18)/J22)*(1/$K$4)
I23,I23=D21
K23,"K23=AVERAGE(N23,O23,P23)"
L23,L23=(LOG(E15)-LOG(K23))
N23,N23=((I23-$D$18)/J23)*(1/$I$4)
O23,O23=((I23-$D$18)/J23)*(1/$L$4)
P23,P23=((I23-$D$18)/J23)*(1/$K$4)
B24,B24=B18
C24,C24=C18
D24,D24=D18
E24,E24=(((D24-L5)/L4)*(C35/C24))/7850
F24,F24=AVERAGE(E25:E27)
D25,D25=D19
E25,E25=(((D25-N2)/L4)*(C35/C24))/7850
K25,K25=AVERAGE(L20:L23)
D26,D26=D20
E26,E26=(((D26-N3)/L4)*(C35/C24))/7850
N26,N26=$J$15/O26
P26,P26=$K$15/O26
D27,D27=D21
E27,E27=(((D27-N4)/L4)*(C35/C24))/7850
J27,"J27=(J15/POWER(10,K25))"
N27,N27=$J$15/O27
P27,P27=$K$15/O27
N28,N28=$J$15/O28
P28,P28=$K$15/O28
N29,N29=$J$15/O29
P29,P29=$K$15/O29
B30,B30=B18
C30,C30=C18
D30,D30=D18
E30,E30=(((D30-K5)/K4)*(C35/C30))/7850
F30,F30=AVERAGE(E31:E33)
N30,N30=$J$15/O30
P30,P30=$K$15/O30
D31,D31=D19
E31,E31=(((D31-N2)/K4)*(C35/C30))/7850
N31,N31=$J$15/O31
P31,P31=$K$15/O31
D32,D32=D20
E32,E32=(((D32-N3)/K4)*(C35/C30))/7850
D33,D33=D21
E33,E33=(((D33-N4)/K4)*(C35/C30))/7850
B38,B38=(D18*0.1)/20000
B39,B39=(D19*0.1)/20000
B40,B40=(D20*0.1)/20000
B41,B41=(D21*0.1)/20000
